condition,seed,category,uid,epoch,accuracy
natural_function,42,island_effects,adjunct_island,10,0.892
natural_function,42,anaphor_agreement,anaphor_gender_agreement,10,0.899
natural_function,42,anaphor_agreement,anaphor_number_agreement,10,0.972
natural_function,42,argument_structure,animate_subject_passive,10,0.659
natural_function,42,argument_structure,animate_subject_trans,10,0.8313725490196079
natural_function,42,argument_structure,causative,10,0.7789256198347108
natural_function,42,island_effects,complex_NP_island,10,0.569
natural_function,42,island_effects,coordinate_structure_constraint_complex_left_branch,10,0.421
natural_function,42,island_effects,coordinate_structure_constraint_object_extraction,10,0.7564102564102564
natural_function,42,subject_verb_agreement,distractor_agreement_relational_noun,10,0.5233494363929146
natural_function,42,subject_verb_agreement,distractor_agreement_relative_clause,10,0.4393063583815029
natural_function,42,argument_structure,drop_argument,10,0.6461916461916462
natural_function,42,ellipsis,ellipsis_n_bar_1,10,0.759
natural_function,42,ellipsis,ellipsis_n_bar_2,10,0.855249745158002
natural_function,42,control_raising,existential_there_object_raising,10,0.7064881565396498
natural_function,42,control_raising,existential_there_subject_raising,10,0.7540805223068553
natural_function,42,control_raising,expletive_it_object_raising,10,0.7332053742802304
natural_function,42,argument_structure,inchoative,10,0.7164366373902133
natural_function,42,argument_structure,intransitive,10,0.7865612648221344
natural_function,42,irregular_forms,irregular_past_participle_adjectives,10,0.843
natural_function,42,irregular_forms,irregular_past_participle_verbs,10,0.907
natural_function,42,subject_verb_agreement,irregular_plural_subject_verb_agreement_1,10,0.6231231231231231
natural_function,42,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,10,0.815
natural_function,42,island_effects,left_branch_island_echo_question,10,0.67
natural_function,42,island_effects,left_branch_island_simple_question,10,0.4
natural_function,42,npi_licensing,npi_present_1,10,0.319
natural_function,42,npi_licensing,npi_present_2,10,0.464
natural_function,42,npi_licensing,only_npi_licensor_present,10,0.745
natural_function,42,npi_licensing,only_npi_scope,10,0.466
natural_function,42,argument_structure,passive_1,10,0.6173526140155728
natural_function,42,argument_structure,passive_2,10,0.6261061946902655
natural_function,42,binding,principle_A_c_command,10,0.491
natural_function,42,binding,principle_A_case_1,10,1.0
natural_function,42,binding,principle_A_case_2,10,0.9195979899497487
natural_function,42,binding,principle_A_domain_1,10,0.991
natural_function,42,binding,principle_A_domain_2,10,0.726
natural_function,42,binding,principle_A_domain_3,10,0.605
natural_function,42,binding,principle_A_reconstruction,10,0.36180904522613067
natural_function,42,subject_verb_agreement,regular_plural_subject_verb_agreement_1,10,0.796221322537112
natural_function,42,subject_verb_agreement,regular_plural_subject_verb_agreement_2,10,0.725
natural_function,42,npi_licensing,sentential_negation_npi_licensor_present,10,0.998
natural_function,42,npi_licensing,sentential_negation_npi_scope,10,0.278
natural_function,42,island_effects,sentential_subject_island,10,0.308
natural_function,42,control_raising,tough_vs_raising_1,10,0.5771365149833518
natural_function,42,control_raising,tough_vs_raising_2,10,0.7029816513761468
natural_function,42,argument_structure,transitive,10,0.662534435261708
natural_function,42,island_effects,wh_island,10,0.574
natural_function,42,filler_gap,wh_questions_object_gap,10,0.47058823529411764
natural_function,42,filler_gap,wh_questions_subject_gap,10,0.743801652892562
natural_function,42,filler_gap,wh_questions_subject_gap_long_distance,10,0.773
natural_function,42,filler_gap,wh_vs_that_no_gap,10,0.6715328467153284
natural_function,42,filler_gap,wh_vs_that_no_gap_long_distance,10,0.947
natural_function,42,filler_gap,wh_vs_that_with_gap,10,0.7608695652173914
natural_function,42,filler_gap,wh_vs_that_with_gap_long_distance,10,0.193
natural_function,53,island_effects,adjunct_island,10,0.83
natural_function,53,anaphor_agreement,anaphor_gender_agreement,10,0.904
natural_function,53,anaphor_agreement,anaphor_number_agreement,10,0.966
natural_function,53,argument_structure,animate_subject_passive,10,0.697
natural_function,53,argument_structure,animate_subject_trans,10,0.8235294117647058
natural_function,53,argument_structure,causative,10,0.7355371900826446
natural_function,53,island_effects,complex_NP_island,10,0.577
natural_function,53,island_effects,coordinate_structure_constraint_complex_left_branch,10,0.443
natural_function,53,island_effects,coordinate_structure_constraint_object_extraction,10,0.6474358974358975
natural_function,53,subject_verb_agreement,distractor_agreement_relational_noun,10,0.5394524959742351
natural_function,53,subject_verb_agreement,distractor_agreement_relative_clause,10,0.4320809248554913
