,epoch-9
animate_subject_passive,0.459
animate_subject_trans,0.7372549019607844
causative,0.7241735537190083
complex_NP_island,0.568
coordinate_structure_constraint_complex_left_branch,0.492
coordinate_structure_constraint_object_extraction,0.3782051282051282
determiner_noun_agreement_1,0.502
determiner_noun_agreement_with_adj_irregular_1,0.46
tough_vs_raising_1,0.6270810210876804
distractor_agreement_relational_noun,0.4444444444444444
distractor_agreement_relative_clause,0.36560693641618497
drop_argument,0.5896805896805897
ellipsis_n_bar_1,0.739
ellipsis_n_bar_2,0.7767584097859327
existential_there_object_raising,0.6189495365602472
existential_there_quantifiers_1,0.8784530386740331
existential_there_quantifiers_2,0.729
existential_there_subject_raising,0.5854189336235038
expletive_it_object_raising,0.7332053742802304
inchoative,0.7139272271016311
intransitive,0.7865612648221344
irregular_past_participle_adjectives,0.671
irregular_past_participle_verbs,0.754
irregular_plural_subject_verb_agreement_1,0.581081081081081
irregular_plural_subject_verb_agreement_2,0.63
left_branch_island_echo_question,0.583
left_branch_island_simple_question,0.4
npi_present_1,0.585
npi_present_2,0.508
only_npi_licensor_present,0.814
only_npi_scope,0.272
passive_1,0.6129032258064516
passive_2,0.3827433628318584
principle_A_c_command,0.346
principle_A_case_1,0.902
principle_A_case_2,0.7758793969849246
principle_A_domain_1,0.986
principle_A_domain_2,0.818
principle_A_domain_3,0.527
principle_A_reconstruction,0.1628140703517588
regular_plural_subject_verb_agreement_1,0.7044534412955465
regular_plural_subject_verb_agreement_2,0.545
sentential_negation_npi_licensor_present,0.828
sentential_negation_npi_scope,0.462
sentential_subject_island,0.383
tough_vs_raising_2,0.4380733944954128
transitive,0.5785123966942148
wh_island,0.393
wh_questions_object_gap,0.226890756302521
wh_questions_subject_gap,0.2809917355371901
wh_questions_subject_gap_long_distance,0.195
wh_vs_that_no_gap,0.1386861313868613
wh_vs_that_no_gap_long_distance,0.137
wh_vs_that_with_gap,0.8478260869565217
wh_vs_that_with_gap_long_distance,0.886
adjunct_island,0.695
anaphor_gender_agreement,0.632
anaphor_number_agreement,0.86
determiner_noun_agreement_irregular_1,0.497
determiner_noun_agreement_with_adjective_1,0.512
